MesoMazeStairTurn,-5245,-5240,10293,10298
MesoMazePath,-5245,-5243,10299,10301
MesoMazeStairCorridor,-5242,-5237,10299,10301
MesoMazePath,-5242,-5240,10290,10292
MesoMazePath,-5245,-5243,10290,10292
MesoMazePath,-5239,-5237,10290,10292
MesoMazePath,-5236,-5234,10299,10301
MesoMazePath,-5242,-5240,10290,10292
MesoMazePath,-5236,-5234,10296,10298
MesoMazePath,-5239,-5237,10293,10295
MesoMazePath,-5239,-5237,10296,10298
MesoMazePath,-5239,-5237,10290,10292
MesoMazePath,-5239,-5237,10296,10298
MesoMazePath,-5236,-5234,10296,10298
MesoMazePath,-5239,-5237,10287,10289
MesoMazePath,-5239,-5237,10293,10295
MesoMazeSpiderTurn,-5242,-5237,10281,10286
MesoMazePath,-5236,-5234,10284,10286
MesoMazePath,-5236,-5234,10287,10289
MesoMazePath,-5242,-5240,10287,10289
MesoMazeStairCorridor,-5236,-5234,10290,10295
MesoMazePath,-5236,-5234,10299,10301
MesoMazePath,-5236,-5234,10281,10283
MesoMazeGrowth,-5264,-5259,10296,10301
MesoMazeGrowth,-5264,-5259,10296,10301
MesoMazePath,-5267,-5265,10296,10298
MesoMazePath,-5270,-5268,10296,10298
MesoMazePath,-5270,-5268,10293,10295
MesoMazePath,-5270,-5268,10299,10301
MesoMazePath,-5270,-5268,10290,10292
MesoMazePath,-5267,-5265,10299,10301
MesoMazePath,-5270,-5268,10299,10301
MesoMazePath,-5264,-5262,10290,10292
MesoMazeStairCorridor,-5267,-5262,10293,10295
MesoMazePath,-5261,-5259,10293,10295
MesoMazePath,-5267,-5265,10290,10292
MesoMazePath,-5261,-5259,10290,10292
MesoMazePath,-5261,-5259,10287,10289
MesoMazePath,-5270,-5268,10296,10298
MesoMazePath,-5270,-5268,10293,10295
MesoMazePath,-5267,-5265,10296,10298
MesoMazeStorage,-5264,-5259,10281,10286
MesoMazeStorage,-5270,-5265,10281,10286
MesoMazePath,-5270,-5268,10287,10289
MesoMazePath,-5264,-5262,10287,10289
MesoMazePath,-5270,-5268,10290,10292
MesoMazePath,-5267,-5265,10290,10292
MesoMazePath,-5267,-5265,10287,10289
MesoMazePath,-5264,-5262,10290,10292
SnakeTemple,-5275,-5229,10276,10306
RLCraft_DecentWitch,-5221,-5221,10306,10306
RLCraft_UndergroundRuin3,-5224,-5216,10300,10308
